Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"AAC1","YMR056C","mitochondria","16.32","4.0165","mitochondria","38.4817","mitochondria","20.0036","mitochondria","53.8212","#N/A","","mitochondria","15.36","0.94","0","6","mitochondria","17.85","1.09","0","3.42","mitochondria","18.44","1.13","0","","mitochondria","mitochondria","16.7723","1.02752","0","2.51339","Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator"
"AAC3","YBR085W","mitochondria","15.91","4.80202","mitochondria","0","mitochondria","19.9798","punctate,mitochondria","123.863","mitochondria","31.3515","mitochondria","14.92","0.93","0","5.83","mitochondria","14.97","0.94","0","3.04","mitochondria","18.62","1.16","0","","mitochondria","mitochondria","17.0998","1.07425","0","3.98874","Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Pet9p and Aac1p; has roles in maintenance of viability and in respiration"
"AAT1","YKL106W","mitochondria","42.06","9.51256","mitochondria","63.7429","mitochondria","26.0869","mitochondria","15.4834","#N/A","28.2166","mitochondria","45.52","1.08","0","12.6","mitochondria","39.46","0.93","0","5.7","mitochondria","33.94","0.8","0","","mitochondria","mitochondria","44.2734","1.0525","0","6.19072","Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis"
"ABC1","YGL119W","mitochondria","28.29","8.76337","","","","","","","","","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis"
"ABF2","YMR072W","mitochondria","162.34","41.7062","mitochondria","228.835","mitochondria","70.3454","punctate,nucleus","379.984","#N/A","62.2609","mitochondria","145.67","0.89","0","79.21","mitochondria","137.15","0.84","0","26.72","mitochondria","248.89","1.53","1","","mitochondria","mitochondria","120.829","0.744254","0","22.4373","Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation"
"ACH1","YBL015W","mitochondria","145.11","60.1639","cytosol,punctate","84.3347","missing","26.8577","below threshold","0","#N/A","0","mitochondria","189.84","1.3","0","107.77","mitochondria","120.82","0.83","0","32.41","mitochondria","128.25","0.88","0","","mitochondria","mitochondria","158.587","1.09281","0","49.6463","Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"
"ACN9","YDR511W","mitochondria","17.17","4.30327","","","","","","","","","mitochondria","17.62","1.02","0","6.34","mitochondria","14.95","0.87","0","3.5","mitochondria","18.07","1.05","0","","mitochondria","mitochondria","16.0977","0.937388","0","2.35902","Protein of the mitochondrial intermembrane space, required for acetate utilization and gluconeogenesis; has orthologs in higher eukaryotes"
"ACO2","YJL200C","mitochondria","451.36","124.745","mitochondria","97.3504","mitochondria","333.902","cytosol","127.478","#N/A","54.0445","mitochondria","368.92","0.81","0","117.72","mitochondria","414.75","0.91","0","109.89","mitochondria","102.58","0.22","-1","","mitochondria","mitochondria","502.304","1.11285","0","91.6873","Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol"
"ACP1","YKL192C","mitochondria","222.89","68.2375","mitochondria","167.805","mitochondria","24.1103","mitochondria","451.258","#N/A","80.9306","mitochondria","264.39","1.18","0","118.82","mitochondria","121.83","0.54","-1","14.56","mitochondria","278.74","1.25","0","","mitochondria","mitochondria","188.958","0.847711","0","47.3598","Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p"
"ADH3","YMR083W","mitochondria","120.86","32.2289","mitochondria","143.437","mitochondria","51.9776","ER,mitochondria","330.976","#N/A","","mitochondria","139.86","1.15","0","58.66","mitochondria","84.03","0.69","0","25.54","mitochondria","180.38","1.49","1","","mitochondria","mitochondria","133.412","1.10378","0","25.8965","Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production"
"ADK2","YER170W","mitochondria","17.34","4.8302","ambiguous,cytosol","27.2727","below threshold","21.5498","below threshold","8.00537","below threshold","22.7596","mitochondria","16.4","0.94","0","6.05","mitochondria","17.26","0.99","0","3.42","mitochondria","17.75","1.02","0","","mitochondria","mitochondria","15.632","0.901235","0","1.94955","Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background"
"AEP1","YMR064W","mitochondria","20.75","5.47437","nucleus","28.915","nucleus","19.8391","below threshold","20.7491","#N/A","0","mitochondria","26.6","1.28","0","9.17","mitochondria","21.56","1.03","0","3.43","mitochondria","21.04","1.01","0","","mitochondria","mitochondria","21.9169","1.05586","0","2.96418","Protein required for expression of the mitochondrial OLI1 gene encoding subunit 9 of F1-F0 ATP synthase"
"AEP2","YMR282C","mitochondria","22.24","4.7076","mitochondria","44.719","mitochondria","22.9366","mitochondria","7.15352","#N/A","0","mitochondria","23.18","1.04","0","7.52","mitochondria","23.83","1.07","0","3.72","mitochondria","21.7","0.97","0","","mitochondria","mitochondria","25.6497","1.15307","0","4.69883","Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader"
"AFG1","YEL052W","mitochondria","33.98","8.42215","mitochondria","109.659","mitochondria","19.0282","cytosol,mitochondria","115.788","#N/A","53.597","mitochondria","36.58","1.07","0","13.16","mitochondria","30.29","0.89","0","6.23","mitochondria","24.09","0.7","0","","mitochondria","mitochondria","37.2573","1.09609","0","4.13817","Conserved protein that may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain"
"AFG3","YER017C","mitochondria","39.64","13.0573","mitochondria","99.7029","missing","32.9418","mitochondria","0","#N/A","36.9352","mitochondria","45.81","1.15","0","14.88","vacuole membrane","34.53","0.87","0","6.49","mitochondria","51.21","1.29","0","","mitochondria","mitochondria","31.5303","0.795194","0","5.33427","Component, with Yta12p, of the mitochondrial inner membrane m-AAA protease that mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes"
"AIM17","YHL021C","mitochondria","58.08","21.8995","mitochondria","103.604","mitochondria","62.7257","cytosol","96.222","#N/A","61.2211","mitochondria","130.23","2.24","1","88.17","mitochondria","97.66","1.68","1","27.27","mitochondria","98.22","1.69","1","","mitochondria","mitochondria","56.3845","0.970764","0","10.1509","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"
"AIM18","YHR198C","mitochondria","22.12","5.67009","mitochondria","75.7437","mitochondria","28.647","mitochondria","120.177","#N/A","30.2511","mitochondria","22.01","0.99","0","6.13","mitochondria","20.68","0.93","0","4.53","mitochondria","18.55","0.83","0","","mitochondria","mitochondria","22.5918","1.02116","0","3.8573","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
"AIM19","YIL087C","mitochondria","17.77","3.58738","mitochondria","88.5462","mitochondria","25.8284","mitochondria","15.2787","mitochondria","29.1314","mitochondria","16.71","0.94","0","6.55","mitochondria","17.63","0.99","0","3.37","mitochondria","17.45","0.98","0","","mitochondria","mitochondria","17.111","0.962537","0","2.77274","Putative protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth"
